date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qbelo_prob1,qbelo_prob2,qb1_game_value,qb2_game_value,score1,score2,result
2021-10-10,2021,0,,PIT,DEN,1472.43864819223,1484.41169011572,0.575724858752784,0.424275141247216,1450.73939381511,1510.98985708592,177.768709669285,156.833870198351,0.472691803027974,0.527308196972026,213.722607971475,211.573697739752,27,19,win
2021-10-10,2021,0,,CIN,GB,1466.07401823485,1621.99896421666,0.372056127782299,0.627943872217701,1474.55101524725,1578.5538685221,159.427356076603,233.536519920133,0.444109536257625,0.555890463742375,134.269229284529,220.393603346186,22,25,loss
2021-10-10,2021,0,,MIN,DET,1483.28043153346,1345.11040883695,0.763061978552167,0.236938021447833,1487.3726341831,1323.63127192693,214.140296709199,179.250561047211,0.786187345571532,0.213812654428468,126.273414462889,-28.7091448027524,19,17,win
2021-10-10,2021,0,,OAK,CHI,1517.54123340041,1479.60067658599,0.643955403168522,0.356044596831479,1502.31177238928,1463.95773438493,192.808781526129,63.3369159439239,0.695802861982574,0.304197138017426,24.9693785575093,17.5845262131218,9,20,loss
2021-10-10,2021,0,,LAC,CLE,1550.53687044745,1578.99832546372,0.552390190761222,0.447609809238778,1571.31683698925,1596.05878049235,203.686688586498,144.104280657527,0.585288135407723,0.414711864592277,451.377389118259,313.132339133786,47,42,win
2021-10-10,2021,0,,ARI,SF,1594.09749984262,1496.99948011116,0.717706055959683,0.282293944040317,1587.93005145296,1539.31791429225,249.568290525311,111.99474,0.69998256304785,0.30001743695215,138.821547048787,96.2215436681819,17,10,win
2021-10-10,2021,0,,DAL,NYG,1510.94729688647,1414.52982660935,0.716911666338829,0.283088333661171,1551.92854935566,1428.67033105972,243.846258639366,176.566048895215,0.739104225706975,0.260895774293025,223.214214202513,8.90637314455416,44,20,win
2021-10-10,2021,0,,KC,BUF,1627.32150326368,1657.51761848894,0.54991994982803,0.45008005017197,1626.53553359434,1622.78351227025,269.361462379066,253.421081959214,0.596711198268779,0.403288801731221,236.39356631733,400.214838406439,20,38,loss
2021-10-11,2021,0,,BAL,IND,1621.31155471021,1527.7823221298,0.713525289609099,0.286474710390901,1612.92324155685,1503.73778305663,206.402668034993,117.526320202789,0.734921283253289,0.265078716746711,567.489608178438,343.860644714776,31,25,win
2021-10-14,2021,0,,PHI,TB,1433.98603162706,1664.11159051926,0.278776412320793,0.721223587679207,1441.97052860536,1644.04857532749,170.381845636005,259.978506440439,0.290484447624955,0.709515552375045,94.4490628076886,301.603940036166,22,28,loss
2021-10-17,2021,1,,JAX,MIA,1273.47302186424,1453.47079293187,0.26189344770671,0.73810655229329,1300.01731791873,1447.40129343758,112.905997423371,110.056255577191,0.323879852595263,0.676120147404737,183.361522396055,281.907073286631,23,20,win
2021-10-17,2021,0,,BAL,LAC,1631.71124690086,1566.31500273359,0.679314023050246,0.320685976949754,1622.47084544124,1585.7845326885,242.511362049338,228.455758639674,0.635887823857296,0.364112176142704,81.2920131927222,62.3039034946621,34,6,win
